variant,split,model,status,spearman,rmse,fold_spearman_mean,fold_spearman_std,folds,members
legacy_all_drugs_zero_smiles,drug_group_4fold,weighted_top3_ensemble,completed,0.4162504864307127,2.260747671429634,,,[],"[{'model': 'extratrees', 'spearman': 0.4070778135579604, 'weight': 0.3448062539100647}, {'model': 'randomforest', 'spearman': 0.3956915034725542, 'weight': 0.3351617157459259}, {'model': 'xgboost', 'spearman': 0.3778294739644786, 'weight': 0.3200320601463318}]"
legacy_all_drugs_zero_smiles,drug_group_4fold,extratrees,completed,0.4070778135579604,2.281304554744189,0.4130434385815845,0.0226817586491265,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.41155051704864476, 'rmse': 2.2022107980361048}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.37659937969744717, 'rmse': 2.405137833037983}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4300316235823245, 'rmse': 2.220198252649275}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.43399223399792164, 'rmse': 2.2920958955086856}]",
legacy_all_drugs_zero_smiles,drug_group_4fold,randomforest,completed,0.3956915034725542,2.287475243939961,0.3987080437283555,0.0274488963455341,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3751622214926485, 'rmse': 2.2345583113588225}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.36769658182393905, 'rmse': 2.3947476013917077}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.42815492261364607, 'rmse': 2.219784025563682}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.42381844898318854, 'rmse': 2.2966634432359876}]",
legacy_all_drugs_zero_smiles,drug_group_4fold,xgboost,completed,0.3778294739644786,2.308795332781118,0.384051492465244,0.0485637003734831,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3068292487357261, 'rmse': 2.332063249786995}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.37963175762281653, 'rmse': 2.3831048504697647}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4171842875356562, 'rmse': 2.234222940459291}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4325606759667774, 'rmse': 2.2831297145557783}]",
legacy_all_drugs_zero_smiles,drug_group_4fold,lightgbm,completed,0.3764906316234638,2.361138095576851,0.3776503229332973,0.0241769949528619,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.33913470978058635, 'rmse': 2.3005598962386613}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.40597332387159984, 'rmse': 2.3741790958970497}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.38223730142204887, 'rmse': 2.315822482729385}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3832559566589541, 'rmse': 2.451031319893202}]",
legacy_all_drugs_zero_smiles,drug_group_4fold,flat_mlp,completed,0.3661535967568932,2.307874228569447,0.3717709380499413,0.0646412997776735,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4462484673774131, 'rmse': 2.1724568417808983}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.38510151563599926, 'rmse': 2.298107413441726}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.26814146264231464, 'rmse': 2.3984238813678402}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3875923065440384, 'rmse': 2.356232324832423}]",
legacy_all_drugs_zero_smiles,drug_group_4fold,residual_mlp,completed,0.3411477159550325,2.3527299891390925,0.3429614932754917,0.0676655908122425,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4181770920002445, 'rmse': 2.210497593334573}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3496630586430594, 'rmse': 2.3409010801994716}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.23396975547599133, 'rmse': 2.478461948111139}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3700360669826715, 'rmse': 2.3732811580594904}]",
legacy_all_drugs_zero_smiles,random_4fold,lightgbm,completed,0.8055699314338455,1.287729394717133,0.8060924489356427,0.0113396428789805,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.8194223717920969, 'rmse': 1.2807970874715138}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.8012464747609893, 'rmse': 1.3280184534755557}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7900778155745143, 'rmse': 1.2403989187108566}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.8136231336149705, 'rmse': 1.300124773126536}]",
legacy_all_drugs_zero_smiles,random_4fold,xgboost,completed,0.791356670298552,1.3282372819897263,0.7919941486088526,0.0153433250630034,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.8119065446154149, 'rmse': 1.3187424844825975}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.790390828397167, 'rmse': 1.3521001992057844}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7691468166703624, 'rmse': 1.2796671790068717}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7965324047524662, 'rmse': 1.3609015126074377}]",
legacy_all_drugs_zero_smiles,random_4fold,weighted_top3_ensemble,completed,0.7873786787373155,1.3359228657595756,,,[],"[{'model': 'lightgbm', 'spearman': 0.8055699314338455, 'weight': 0.34923428297042847}, {'model': 'xgboost', 'spearman': 0.791356670298552, 'weight': 0.34307247400283813}, {'model': 'randomforest', 'spearman': 0.7097482616825894, 'weight': 0.3076932430267334}]"
